ma,loai,so_plugin,so_lan,plugins,ban_goc_tai,ngay_ban_hanh,hieu_luc,bi_sua_doi_boi,bi_thay_the_boi,du_thao_thay_the,ghi_chu
NĐ 30/2020,NĐ,12,35,attp-sct-vn;bvmt-sct-vn;dacn-sct-vn;hc-sct-vn;hnh-sct-vn;kccn-sct-vn;kho-vlncn-sct-vn;qlks-sct-vn;tkm-sct-vn;vbhc-vn;xd-sct-vn;xp-hc-vlncn-sct-vn,,05/3/2020,05/3/2020,,,,Công tác văn thư — thể thức VBHC (vbhc-vn)
NĐ 36/2020,NĐ,2,30,qlks-sct-vn;xp-sct-vn,xp-sct-vn,24/3/2020,10/5/2020,NĐ 04/2022 (06/01/2022); NĐ 290/2025 (phần tài nguyên nước),,Dự thảo NĐ thay thế (3/2026),"Xử phạt tài nguyên nước, khoáng sản; Đ65 (bản 04/2022): thanh tra CT xử Đ36, 38, 39, 48, 55–62; lập BB theo QĐ 5116/QĐ-SCT"
NĐ 42/2020,NĐ,1,5,hnh-sct-vn,,,,,,,
NĐ 45/2020,NĐ,1,1,kccn-sct-vn,,,,,,,
NĐ 66/2020,NĐ,2,4,kccn-sct-vn;vbhc-vn,,,,,,,
NĐ 98/2020,NĐ,1,14,xp-sct-vn,xp-sct-vn,26/8/2020,15/10/2020,NĐ 17/2022 (Điều 3); NĐ 24/2025,,,"Xử phạt thương mại, hàng giả, hàng cấm, bảo vệ NTD — QLTT xử; QLCN không lập BB (k2 Đ80)"
NĐ 99/2020,NĐ,1,15,xp-sct-vn,xp-sct-vn,26/8/2020,11/10/2020,NĐ 17/2022 (Điều 4),,,"Xử phạt dầu khí, xăng dầu, khí; k2 Đ62 Chánh TT Sở CT đích danh; k7 Đ63"
NĐ 37/2019,NĐ,2,2,kccn-sct-vn;quy-hoach-ct-vn,,,,,,,
NĐ 67/2019,NĐ,1,4,qlks-sct-vn,,,,,,,
NĐ 71/2019,NĐ,8,141,hc-sct-vn;hl-vlncn-sct-vn;hnh-sct-vn;kho-vlncn-sct-vn;qlks-sct-vn;sd-vlncn-sct-vn;xp-hc-vlncn-sct-vn;xp-sct-vn,hc-sct-vn;kho-vlncn-sct-vn;sd-vlncn-sct-vn;xp-sct-vn,,,NĐ 17/2022 (Điều 1),NĐ 275/2026 (25/8/2026),,"Xử phạt hóa chất, VLNCN — đã thay thế; chỉ dẫn cho hành vi trước 25/8/2026"
NĐ 72/2019,NĐ,1,1,kccn-sct-vn,,,,,,,
NĐ 114/2018,NĐ,1,3,qlks-sct-vn,,,,,,,
NĐ 115/2018,NĐ,2,19,attp-sct-vn;xp-sct-vn,xp-sct-vn,,,,,,
NĐ 15/2018,NĐ,2,70,attp-sct-vn;xp-sct-vn,attp-sct-vn,,,,,,
NĐ 155/2018,NĐ,1,2,attp-sct-vn,,,,,,,
NĐ 156/2018,NĐ,1,1,kccn-sct-vn,,,,,,,
NĐ 67/2018,NĐ,1,8,qlks-sct-vn,,,,,,,
NĐ 69/2018,NĐ,1,1,attp-sct-vn,,,,,,,
NĐ 71/2018,NĐ,1,2,hl-vlncn-sct-vn,,,,,,,
NĐ 8/2018,NĐ,1,4,attp-sct-vn,,,,,,,
NĐ 87/2018,NĐ,1,6,pccc-sct-vn,,,,,,,
NĐ 105/2017,NĐ,3,6,attp-sct-vn;vbhc-vn;xp-sct-vn,,,,,,,
NĐ 106/2017,NĐ,1,1,attp-sct-vn,,,,,,,
NĐ 113/2017,NĐ,2,11,hc-sct-vn;pccc-sct-vn,,,,,,,
NĐ 119/2017,NĐ,1,5,xp-sct-vn,,,,,,,
NĐ 139/2017,NĐ,1,1,xp-sct-vn,,,,,,,
NĐ 33/2017,NĐ,1,1,xp-sct-vn,,,,,,,
NĐ 42/2017,NĐ,1,2,tkm-sct-vn,,,,,,,
NĐ 43/2017,NĐ,2,3,attp-sct-vn;xp-sct-vn,,,,,,,
NĐ 67/2017,NĐ,1,1,xp-sct-vn,,,,,,,
NĐ 68/2017,NĐ,2,6,kccn-sct-vn;vbhc-vn,,,,,,,
NĐ 134/2016,NĐ,1,1,kccn-sct-vn,,,,,,,
NĐ 155/2016,NĐ,1,1,bvmt-sct-vn,,,,,,,
